top.genre,nrgy,dnce,live,acous
'dance pop',70,76,15,0
'canadian pop',81,87,8,38
'dance pop',71,70,29,4
'dance pop',54,84,8,4
'canadian pop',71,62,13,6
'dance pop',80,72,20,12
'dance pop',44,26,11,10
'dance pop',61,78,13,11
edm,67,59,34,1
'barbadian pop',64,51,8,7
'dance pop',71,66,8,3
brostep,76,52,17,26
'dance pop',64,71,26,2
'dance pop',33,57,9,42
'dance pop',81,65,17,19
pop,60,80,10,8
pop,86,70,2,2
pop,30,59,12,78
'dance pop',75,68,9,6
'hip hop',73,59,31,5
'canadian pop',73,74,30,0
'dance pop',67,67,12,3
'dance pop',46,70,5,0
'dance pop',81,66,5,3
electropop,58,66,12,11
'contemporary country',59,47,13,3
pop,71,77,13,20
'canadian pop',60,53,13,56
'dance pop',41,97,8,19
'dance pop',80,63,10,4
'dance pop',63,71,8,10
'dance pop',73,69,11,28
'dance pop',57,52,11,3
'dance pop',81,64,8,2
'dance pop',57,46,10,24
'dance pop',62,77,21,6
'canadian pop',62,84,13,4
edm,59,63,10,20
pop,59,65,11,1
latin,72,76,23,2
'hip hop',73,92,12,0
'dance pop',80,54,42,2
'dance pop',69,57,6,8
'dance pop',79,63,16,5
pop,60,66,11,10
'dance pop',59,39,9,3
'dance pop',74,77,9,5
'dance pop',61,53,23,23
'detroit hip hop',44,48,64,81
'dance pop',41,68,12,70
'dance pop',69,73,10,2
'dance pop',87,76,7,3
downtempo,64,75,11,25
'dance pop',58,75,25,4
'dance pop',69,63,12,16
'dance pop',48,58,10,2
'dance pop',55,79,13,1
'moroccan pop',76,75,20,0
pop,84,58,10,13
pop,59,97,8,5
'dance pop',77,58,9,5
pop,32,76,8,84
'dance pop',34,51,21,58
pop,41,50,11,75
'canadian pop',54,76,9,4
pop,68,48,8,15
pop,62,86,9,15
electropop,46,62,14,56
brostep,79,69,17,19
'escape room',62,72,12,11
'escape room',89,67,74,30
edm,68,69,10,2
'boy band',50,80,6,11
pop,65,64,8,12
'boy band',73,84,11,4
'dance pop',88,67,8,30
pop,68,80,9,9
'alternative r&b',40,90,6,5
'dance pop',89,81,8,2
electropop,51,53,10,13
'big room',86,73,11,48
pop,54,85,13,57
electropop,70,59,34,20
'dance pop',45,70,16,12
pop,82,72,36,13
'electronic trap',80,84,6,16
latin,87,74,4,17
'dance pop',66,61,20,1
pop,79,75,7,21
'dance pop',76,53,9,7
'dance pop',79,60,42,1
electropop,44,70,13,6
